id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
82.0,Stacks  STX,"R$ 4,99",0.3%,2.3%,2.9%,3.9%,R$ 218.001.655,R$ 7.632.153.690,R$ 7.632.263.340,10.0
83.0,Injective  INJ,"R$ 77,58",0.3%,9.5%,15.0%,34.4%,R$ 892.045.667,R$ 7.584.613.755,R$ 7.761.004.282,98.0
84.0,Optimism  OP,"R$ 4,30",0.5%,4.6%,5.5%,9.8%,R$ 880.831.386,R$ 7.368.245.699,R$ 18.453.667.191,4.0
85.0,Kelp DAO Restaked ETH  RSETH,"R$ 15.025,17",0.1%,0.8%,1.2%,41.2%,R$ 2.608.414,R$ 7.218.218.373,R$ 7.218.218.373,10.0
86.0,NEXO  NEXO,"R$ 7,16",0.2%,0.4%,0.7%,12.8%,R$ 71.347.843,R$ 7.152.167.311,R$ 7.152.167.311,10.0
87.0,Rocket Pool ETH  RETH,"R$ 16.396,43",0.2%,1.1%,1.3%,42.0%,R$ 13.577.876,R$ 6.858.184.888,R$ 6.858.184.888,10.0
88.0,Flare  FLR,"R$ 0,1043",0.4%,1.1%,4.0%,11.1%,R$ 41.523.344,R$ 6.833.996.871,R$ 10.792.981.169,63.0
89.0,USDT0  USDT0,"R$ 5,68",0.0%,0.1%,0.1%,0.1%,R$ 1.054.678.537,R$ 6.754.715.212,R$ 6.754.715.212,10.0
90.0,Story  IP,"R$ 24,03",0.6%,1.6%,11.4%,5.7%,R$ 176.168.492,R$ 6.727.845.754,R$ 24.169.055.989,28.0
91.0,EOS  EOS,"R$ 4,39",0.3%,3.3%,0.7%,13.7%,R$ 157.986.203,R$ 6.658.057.068,R$ 9.217.516.534,72.0
92.0,Sei  SEI,"R$ 1,25",0.1%,2.5%,1.4%,8.0%,R$ 301.021.173,R$ 6.646.509.325,R$ 12.465.126.500,53.0
93.0,Immutable  IMX,"R$ 3,58",0.4%,3.1%,2.2%,1.7%,R$ 204.429.824,R$ 6.592.145.778,R$ 7.158.104.120,92.0
94.0,dogwifhat  WIF,"R$ 6,37",0.9%,7.7%,12.2%,71.7%,R$ 3.170.124.382,R$ 6.373.757.049,R$ 6.373.757.049,10.0
95.0,XDC Network  XDC,"R$ 0,3837",0.1%,0.1%,7.5%,9.8%,R$ 146.164.789,R$ 6.221.905.705,R$ 14.579.460.263,43.0
